Nv,λe,λw,BIC,AIC,rmse_reconst
3,0.01,1.0,-6.195813027697569e7,-6.269416741340392e7,0.0009897186414663142
3,0.001,1.0,-6.19469687173386e7,-6.268300585376683e7,0.0009893830500622984
3,0.1,1.0,-6.1923387405575916e7,-6.2659424542004146e7,0.0009911563890716945
3,1.0,1.0,-6.186727020976875e7,-6.260330734619698e7,0.0011907493364753002
4,1.0,1.0,-6.181801354538256e7,-6.255695991950418e7,0.00100207471070907
4,0.1,1.0,-6.17547377879839e7,-6.249368416210552e7,0.0010082905037762824
4,0.01,1.0,-6.173852707964283e7,-6.247747345376445e7,0.0010090317206169644
4,0.001,1.0,-6.173848448515172e7,-6.2477430859273344e7,0.0010091301823232349
4,0.1,10.0,-6.171500016620865e7,-6.245394654033027e7,0.0010116237784406998
3,1.0,10.0,-6.166237147438093e7,-6.239840861080916e7,0.0010143181642219372
