λ,Carnallite,Quartz,Biotite,Zircon,Rutile,Ammonium Illite,Almandine
0.5,0.56875253,0.7944497106830068,0.09594190475693756,0.33930704275482754,0.13274638460144603,0.7162002926327263,0.25785607
0.505,0.57167184,0.7972563624892249,0.09752884942174421,0.3435552088672887,0.13348452288057883,0.7268623158593586,0.25676447
0.51,0.5745330559324594,0.7973528198891988,0.09895185559663597,0.34675688626796264,0.13617688283137833,0.7375830982199322,0.2639091199024991
0.515,0.5773991957949158,0.8001081584799847,0.09913961838687388,0.35065789654596546,0.13749453347463475,0.7436975900886009,0.27257154268715383
0.52,0.5803035020431979,0.8006258252272522,0.10059007099721,0.3561366064638647,0.1393193902070021,0.7519317224372244,0.27772276817369135
0.525,0.5833552620695173,0.8018508600414004,0.10257984870398704,0.3614662459027091,0.14221949543290435,0.757368666389164,0.28306728748550053
0.53,0.5866546817696114,0.802622188397034,0.10342589039630404,0.3675025241515416,0.1438974708891589,0.7621234476771768,0.29152530210619476
0.535,0.590620553461827,0.8013954529452294,0.10424463841178412,0.3731955021424214,0.14648774912319124,0.7670050953681536,0.3026663895194242
0.54,0.5953208607891606,0.8029734503465931,0.10488627826563471,0.3794943909249816,0.14972161026299474,0.7706008578798424,0.31441809315354236
0.545,0.6010340743757437,0.8043300767330174,0.10744663382158821,0.38953154266872686,0.1519014189271393,0.7748519198082481,0.32476159222162226
0.55,0.6080741753204533,0.8047667964211143,0.10729732471079714,0.398485458184532,0.15602074531140314,0.7769956934615847,0.3322225074480746
0.555,0.6166483613203133,0.8047398548537484,0.10728032860228601,0.40866642153871546,0.15929498870038702,0.7815443992640926,0.3362607645135452
0.56,0.62679535,0.8060184634876022,0.11044236776186646,0.418481780722861,0.16315244502642545,0.7836894932895493,0.33739787
0.565,0.63854939,0.8068338342245422,0.11102154780522801,0.43075747443169426,0.16887838903964036,0.7872083780125801,0.33652699
0.57,0.6512573659395592,0.8080817564411467,0.11156514985404781,0.44349167944349155,0.17446022987889814,0.7922499585289278,0.3368323752447524
0.575,0.6646266865272652,0.8093806496810967,0.1125288870693707,0.45572182290222885,0.17998782514885142,0.7951077699689997,0.3422682798359982
0.58,0.6778063730271302,0.8098194632494488,0.11327212370805562,0.4659087414845222,0.1864142285075276,0.7989096000697511,0.35479757366143655
0.585,0.6909351297173141,0.8124773191611916,0.11512571633111328,0.47533327429124284,0.19352807664386643,0.802967537891279,0.37243033138923054
0.59,0.7021513587211639,0.8111474805747414,0.1142668275731864,0.48347661443308354,0.2019605753953191,0.8054097198542022,0.38831179442117875
0.595,0.7120760101289935,0.8131669551278512,0.1146797646782468,0.49627447844258427,0.209821073210032,0.8065880282510824,0.402045110137693
0.6,0.7219134226840926,0.8136013684624444,0.11546375165216666,0.5071623209075555,0.21839731134266666,0.8088297131371667,0.4153691618075277
0.605,0.7294183106878657,0.8158333746413995,0.11492753165034342,0.5148875353768506,0.22776550465652473,0.8112534752982868,0.42398175541372934
0.61,0.7360529181807637,0.8150873457768584,0.11535308743888945,0.5211263302203166,0.23772339244048335,0.8141674028784915,0.43158633607432145
0.615,0.7417138698313983,0.8159176019329758,0.11538013417076037,0.5259861127323409,0.24745134391857598,0.8158097420468495,0.43982745270402696
